Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-16,18:30:00,0.2,27.375,0.1875,0.1875,24.5902533072
2024-08-16,18:45:00,0.2,26.9375,0.1875,0.21875,23.3403632003
2024-08-16,19:00:00,0.2,26.3125,0.125,0.09375,23.703581837
2024-08-16,19:15:00,0.2,24.5625,0.1875,0.1875,22.5101472043
2024-08-16,19:30:00,0.2,24.6875,0.1875,0.125,21.3842192253
2024-08-16,19:45:00,0.2,25.75,0.125,0.1875,22.79973871
2024-08-16,20:00:00,0.2,24.1875,0.1875,0.09375,21.220452829
2024-08-16,20:15:00,0.2,22.1875,0.1875,0.21875,21.6490290582
2024-08-16,20:30:00,0.2,23.1875,0.125,0.1875,21.7945244513
2024-08-16,20:45:00,0.2,23.6875,0.1875,0.09375,21.4764337252
2024-08-16,21:00:00,0.2,20.625,0.1875,0.21875,21.0368849327
2024-08-16,21:15:00,0.2,22.375,0.125,0.09375,20.9210436964
2024-08-16,21:30:00,0.2,23.9375,0.1875,0.1875,20.9222811741
2024-08-16,21:45:00,0.2,21.875,0.1875,0.21875,20.7669456938
2024-08-16,22:00:00,0.2,21.9375,0.125,0.09375,20.7985573103
2024-08-16,22:15:00,0.2,23.5625,0.1875,0.1875,20.6883020256
2024-08-16,22:30:00,0.2,22.125,0.1875,0.09375,20.3668928624
2024-08-16,22:45:00,0.2,22.1875,0.21875,0.21875,20.6913811476
2024-08-16,23:00:00,0.2,22.0,0.09375,0.1875,20.4777541358
2024-08-16,23:15:00,0.2,22.625,0.1875,0.09375,20.1259170156
2024-08-16,23:30:00,0.2,22.875,0.21875,0.21875,20.6009611032
2024-08-16,23:45:00,0.2,23.0,0.1875,0.1875,20.6471106596
2024-08-17,00:00:00,0.2,21.875,0.09375,0.09375,20.7923275227
2024-08-17,00:15:00,0.2,23.625,0.21875,0.21875,20.6871728034
2024-08-17,00:30:00,0.2,21.8125,0.1875,0.09375,20.580345838
2024-08-17,00:45:00,0.2,23.5,0.09375,0.1875,20.5834995159
2024-08-17,01:00:00,0.2,20.1875,0.21875,0.21875,19.8433622327
2024-08-17,01:15:00,0.2,20.1875,0.1875,0.09375,17.7789333484
